ct10_id,median_yearbuilt,median_price,median_prslpr,mortgage,median_totrooms,median_bathrooms,median_bedrooms,median_lotsize,median_intersf,median_flip_horizon,median_price_diff,median_price_diff_pch,median_lasqbin,mean_month_horizon,buyer_llc_ind_sum,buyer_bus_ind_sum,buyer_trst_ind_sum,buyer_bnk_ind_sum,buyer_gse_ind_sum,buyer_gov_ind_sum,seller_llc_ind_sum,seller_llp_ind_sum,seller_bus_ind_sum,seller_trst_ind_sum,seller_bnk_ind_sum,seller_gse_ind_sum,seller_gov_ind_sum,flip_ind_sum,buy_side_flip_sum,sell_side_flip_sum,restype_R1F_sum,sum_institutional_investor,sum_large_investor,sum_medium_investor,sum_non_investor,sum_small_investor,sum_non_small_llc_investor,sum_small_llc_investor,count_1.FAM.RES,count_2.FAM.RES,count_3.FAM.RES,count_CONDOMINIUM,count_RES.DEV.LAND,percent_owners,num_sales_transactions,years,pop,male,female,pop_u18,pop_18_64,pop_65o,nhwhi,nhaa,nhna,nhas,nhpi,nhoth,nhmlt,lat,fam,hh,fhh,fhh2,fhh3,fhh4,fhh5,fhh6,fhh7o,nfhh,nfhh1,nfhh2,nfhh3,nfhh4,nfhh5,nfhh6,nfhh7o,acs_year,mhi,mhi_me,o_mhi,o_mhi_me,r_mhi,r_mhi_me
25009218100,1960,578750,174250,275000,8,3,4,24406.5,2583,1140,1e+05,19.215,2650.5,12,21,9,43,5,0,0,14,0,7,88,11,0,0,55,58,55,554,10,11,12,682,31,722,24,554,29,5,92,5,45.2,746,2010,5136,2406,2730,1215,2912,1009,4952,6,11,41,0,1,49,76,1444,2147,1444,668,311,318,105,36,6,703,619,78,2,1,1,2,0,2007-11,114639,10989,155333,30316,60865,12290
25017364101,1946,290000,114000,215900,7,2,3,10367,1565,1054,49900,19.72,1550.5,13,45,17,27,13,1,0,55,0,28,67,22,1,0,82,89,82,784,22,16,22,971,32,1005,58,784,65,4,110,5,36.1,1063,2010,5266,2508,2758,1151,3323,792,4718,93,9,123,1,21,61,240,1368,2243,1368,568,337,315,114,24,10,875,724,128,14,8,0,0,1,2007-11,75403,5571,88000,12504,45662,28497
25017368400,1942,389893,124000,276000,6,2,3,5998,1824,941,55000,13.985,1850.5,11,27,17,26,4,3,1,27,0,44,80,10,2,0,75,80,75,478,17,15,30,664,32,730,28,478,61,13,111,8,41.8,758,2010,8117,3833,4284,852,6690,575,5557,410,9,1162,2,30,182,765,1175,2319,1175,499,325,213,79,36,23,1144,717,284,80,33,22,5,3,2007-11,64036,6775,91364,20763,55453,10146
25023501102,1964,425000,154000,260000,7,3,3,10052.5,1897,983,65000,19.37,1950.5,13,48,17,79,5,1,0,73,0,47,137,6,2,0,174,183,174,1062,20,12,40,1523,71,1614,52,1062,62,4,447,31,34.5,1666,2010,8057,3731,4326,2226,4539,1292,7649,52,11,117,2,13,113,100,2113,3102,2113,814,486,465,259,70,19,989,881,103,1,3,0,1,0,2007-11,101023,10746,120769,24962,72520,16190
25017339200,1926,415000,0,300700,7,2,3,6254,1878,1273,82000,21.32,1850.5,13,12,7,17,1,1,0,15,0,8,56,0,0,2,53,56,53,635,8,8,15,745,19,782,13,635,93,2,49,2,48.2,795,2010,5830,2782,3048,1138,3667,1025,5324,115,2,168,1,15,86,119,1541,2220,1541,642,395,325,129,34,16,679,483,153,24,15,2,1,1,2007-11,89352,6972,94688,24428,57794,41852
25021406101,1973,450000,176000,304225,8,3,4,21858,2212,1304,69750,17.925,2250.5,13,24,15,50,6,3,0,12,0,22,113,9,3,0,54,59,54,684,30,9,8,795,19,835,26,684,16,4,79,41,43.7,861,2010,5537,2705,2832,1683,3205,649,5186,46,3,146,0,5,58,93,1535,1919,1535,527,359,393,192,49,15,384,341,40,2,1,0,0,0,2007-11,115063,9159,143636,29245,40093,18092
25017356400,1952,451250,119950,322000,7,3,3,7013,2124,1071,77000,21.82,2150.5,11,14,14,25,1,1,0,21,0,13,97,4,1,1,95,100,95,970,25,15,16,1082,42,1165,15,970,60,3,119,0,50.5,1180,2010,7247,3420,3827,1678,4205,1364,6387,93,2,449,0,20,124,172,2027,2882,2027,835,500,479,151,47,15,855,724,113,9,8,1,0,0,2007-11,107194,7770,118036,16867,80964,27674
25025050400,1900,254900,51000,198000,5,2,2,1215,1598,681,69000,32.56,1550.5,12,10,3,12,5,0,0,8,0,8,29,9,0,2,31,32,31,28,8,10,6,215,14,239,14,28,23,69,91,1,39.5,253,2010,2372,1317,1055,411,1738,223,935,66,5,63,0,52,47,1204,480,967,480,141,137,99,62,21,20,487,342,104,23,13,3,1,1,2007-11,48697,10450,88824,31532,41359,10604
25017341500,1920,268000,105000,207350,6,3,3,3040,1509,898,13000,4.645,1550.5,11,16,14,25,37,15,0,141,0,18,81,66,8,0,87,90,87,144,63,21,19,753,31,845,42,144,238,84,374,2,34,887,2010,4780,2345,2435,1088,3337,355,1857,1100,8,906,1,132,110,666,1105,1679,1105,314,295,237,135,76,48,574,403,118,34,15,3,1,0,2007-11,58690,9296,85882,21382,40805,9907
25025140102,1950,3e+05,113000,248000,7,2,3,5665,1584,652.5,26500,12.22,1550.5,9,26,12,30,33,7,0,46,0,24,56,59,7,0,87,88,87,440,74,14,22,590,15,656,59,440,114,17,83,3,42.8,715,2010,4401,2138,2263,1128,2734,539,1699,1717,4,88,1,38,99,755,1083,1548,1083,339,252,241,150,60,41,465,381,69,11,2,2,0,0,2007-11,57336,8408,74040,11904,30456,6117
25025100200,1915,225000,73000,147070,7,2,3,3800,1691,442,762.5,0.27,1750.5,10,27,18,36,26,15,1,23,0,45,36,56,6,14,84,88,84,78,71,21,13,302,26,381,52,78,68,100,120,8,35.6,433,2010,2787,1217,1570,820,1753,214,37,2185,4,27,0,49,72,413,711,905,711,188,205,162,96,28,32,194,156,30,5,1,1,0,1,2007-11,41898,11258,71591,18645,34976,4836
25021417100,1925,360000,0,266400,7,2,3,5595,1669,1279,66000,20,1650.5,13,7,4,15,1,1,0,10,0,2,46,5,0,0,28,29,28,388,8,6,15,522,26,569,8,388,71,15,73,2,49.7,577,2010,4264,2026,2238,816,2945,503,2919,84,5,1101,5,8,57,85,1023,1645,1023,380,245,216,95,48,39,622,466,128,18,9,0,0,1,2007-11,70293,4361,82543,15690,54286,20903
